series_id        	year	period	       value	footnote_codes
APU000074712     	1973	M10	       0.402	
APU000074712     	1973	M11	       0.418	
APU000074712     	1973	M12	       0.437	
APU000074712     	1974	M01	       0.465	
APU000074712     	1974	M02	       0.491	
APU000074712     	1974	M03	       0.528	
APU000074712     	1974	M04	       0.537	
APU000074712     	1974	M05	       0.550	
APU000074712     	1974	M06	       0.556	
APU000074712     	1974	M07	       0.558	
APU000074712     	1974	M08	       0.554	
APU000074712     	1974	M09	       0.550	
APU000074712     	1974	M10	       0.534	
APU000074712     	1974	M11	       0.528	
APU000074712     	1974	M12	       0.528	
APU000074712     	1975	M01	       0.532	
APU000074712     	1975	M02	       0.533	
APU000074712     	1975	M03	       0.534	
APU000074712     	1975	M04	       0.540	
APU000074712     	1975	M05	       0.550	
APU000074712     	1975	M06	       0.567	
APU000074712     	1975	M07	       0.591	
APU000074712     	1975	M08	       0.595	
APU000074712     	1975	M09	       0.597	
APU000074712     	1975	M10	       0.594	
APU000074712     	1975	M11	       0.589	
APU000074712     	1975	M12	       0.586	
APU000074712     	1976	M01	       0.584	
APU000074712     	1976	M02	       0.578	
APU000074712     	1976	M03	       0.569	
APU000074712     	1976	M04	       0.567	
APU000074712     	1976	M05	       0.576	
APU000074712     	1976	M06	       0.592	
APU000074712     	1976	M07	       0.599	
APU000074712     	1976	M08	       0.603	
APU000074712     	1976	M09	       0.604	
APU000074712     	1976	M10	       0.603	
APU000074712     	1976	M11	       0.602	
APU000074712     	1976	M12	       0.600	
APU000074712     	1977	M01	       0.600	
APU000074712     	1977	M02	       0.607	
APU000074712     	1977	M03	       0.612	
APU000074712     	1977	M04	       0.619	
APU000074712     	1977	M05	       0.626	
APU000074712     	1977	M06	       0.630	
APU000074712     	1977	M07	       0.631	
APU000074712     	1977	M08	       0.630	
APU000074712     	1977	M09	       0.629	
APU000074712     	1977	M10	       0.627	
APU000074712     	1977	M11	       0.626	
APU000074712     	1977	M12	       0.627	
APU000074712     	1978	M01	       0.607	
APU000074712     	1978	M02	       0.605	
APU000074712     	1978	M03	       0.604	
APU000074712     	1978	M04	       0.606	
APU000074712     	1978	M05	       0.611	
APU000074712     	1978	M06	       0.620	
APU000074712     	1978	M07	       0.629	
APU000074712     	1978	M08	       0.638	
APU000074712     	1978	M09	       0.644	
APU000074712     	1978	M10	       0.645	
APU000074712     	1978	M11	       0.650	
APU000074712     	1978	M12	       0.659	
APU000074712     	1979	M01	       0.668	
APU000074712     	1979	M02	       0.681	
APU000074712     	1979	M03	       0.706	
APU000074712     	1979	M04	       0.753	
APU000074712     	1979	M05	       0.797	
APU000074712     	1979	M06	       0.856	
APU000074712     	1979	M07	       0.908	
APU000074712     	1979	M08	       0.943	
APU000074712     	1979	M09	       0.973	
APU000074712     	1979	M10	       0.982	
APU000074712     	1979	M11	       0.994	
APU000074712     	1979	M12	       1.018	
APU000074712     	1980	M01	       1.086	
APU000074712     	1980	M02	       1.159	
APU000074712     	1980	M03	       1.202	
APU000074712     	1980	M04	       1.212	
APU000074712     	1980	M05	       1.215	
APU000074712     	1980	M06	       1.217	
APU000074712     	1980	M07	       1.216	
APU000074712     	1980	M08	       1.210	
APU000074712     	1980	M09	       1.197	
APU000074712     	1980	M10	       1.188	
APU000074712     	1980	M11	       1.188	
APU000074712     	1980	M12	       1.197	
APU000074712     	1981	M01	       1.238	
APU000074712     	1981	M02	       1.321	
APU000074712     	1981	M03	       1.352	
APU000074712     	1981	M04	       1.344	
APU000074712     	1981	M05	       1.333	
APU000074712     	1981	M06	       1.324	
APU000074712     	1981	M07	       1.315	
APU000074712     	1981	M08	       1.310	
APU000074712     	1981	M09	       1.305	
APU000074712     	1981	M10	       1.299	
APU000074712     	1981	M11	       1.297	
APU000074712     	1981	M12	       1.293	
APU000074712     	1982	M01	       1.285	
APU000074712     	1982	M02	       1.260	
APU000074712     	1982	M03	       1.206	
APU000074712     	1982	M04	       1.148	
APU000074712     	1982	M05	       1.166	
APU000074712     	1982	M06	       1.242	
APU000074712     	1982	M07	       1.263	
APU000074712     	1982	M08	       1.254	
APU000074712     	1982	M09	       1.236	
APU000074712     	1982	M10	       1.219	
APU000074712     	1982	M11	       1.207	
APU000074712     	1982	M12	       1.181	
APU000074712     	1983	M01	       1.150	
APU000074712     	1983	M02	       1.099	
APU000074712     	1983	M03	       1.064	
APU000074712     	1983	M04	       1.131	
APU000074712     	1983	M05	       1.177	
APU000074712     	1983	M06	       1.197	
APU000074712     	1983	M07	       1.207	
APU000074712     	1983	M08	       1.203	
APU000074712     	1983	M09	       1.189	
APU000074712     	1983	M10	       1.172	
APU000074712     	1983	M11	       1.156	
APU000074712     	1983	M12	       1.146	
APU000074712     	1984	M01	       1.131	
APU000074712     	1984	M02	       1.125	
APU000074712     	1984	M03	       1.125	
